tBodyAcc-mean()-X					Body Acceleration mean()-X
tBodyAcc-mean()-Y					Body Acceleration mean()-Y
tBodyAcc-mean()-Z					Body Acceleration mean()-Z
tBodyAcc-std()-X					Body Acceleration Standard deviation()-X
tBodyAcc-std()-Y					Body Acceleration Standard deviation()-Y
tBodyAcc-std()-Z					Body Acceleration Standard deviation()-Z
tBodyAcc-mad()-X					Body Acceleration Median absolute deviation()-X
tBodyAcc-mad()-Y					Body Acceleration Median absolute deviation()-Y
tBodyAcc-mad()-Z					Body Acceleration Median absolute deviation()-Z
tBodyAcc-max()-X					Body Acceleration max()-X
tBodyAcc-max()-Y					Body Acceleration max()-Y                                           
tBodyAcc-max()-Z					Body Acceleration max()-Z
tBodyAcc-min()-X					Body Acceleration min()-X
tBodyAcc-min()-Y					Body Acceleration min()-Y
tBodyAcc-min()-Z					Body Acceleration min()-Z
tBodyAcc-sma()						Body Acceleration Signal magnitude area()
tBodyAcc-energy()-X					Body Acceleration energy()-X
tBodyAcc-energy()-Y					Body Acceleration energy()-Y
tBodyAcc-energy()-Z					Body Acceleration energy()-Z
tBodyAcc-iqr()-X					Body Acceleration Interquartile range()-X
tBodyAcc-iqr()-Y					Body Acceleration Interquartile range()-Y
tBodyAcc-iqr()-Z					Body Acceleration Interquartile range()-Z
tBodyAcc-entropy()-X				Body Acceleration entropy()-X
tBodyAcc-entropy()-Y				Body Acceleration entropy()-Y
tBodyAcc-entropy()-Z				Body Acceleration entropy()-Z
tBodyAcc-arCoeff()-X,1				Body Acceleration Autorregresion coefficient()-X,1
tBodyAcc-arCoeff()-X,2				Body Acceleration Autorregresion coefficient()-X,2
tBodyAcc-arCoeff()-X,3				Body Acceleration Autorregresion coefficient()-X,3
tBodyAcc-arCoeff()-X,4				Body Acceleration Autorregresion coefficient()-X,4
tBodyAcc-arCoeff()-Y,1				Body Acceleration Autorregresion coefficient()-Y,1
tBodyAcc-arCoeff()-Y,2				Body Acceleration Autorregresion coefficient()-Y,2
tBodyAcc-arCoeff()-Y,3				Body Acceleration Autorregresion coefficient()-Y,3
tBodyAcc-arCoeff()-Y,4				Body Acceleration Autorregresion coefficient()-Y,4
tBodyAcc-arCoeff()-Z,1				Body Acceleration Autorregresion coefficient()-Z,1
tBodyAcc-arCoeff()-Z,2				Body Acceleration Autorregresion coefficient()-Z,2
tBodyAcc-arCoeff()-Z,3				Body Acceleration Autorregresion coefficient()-Z,3
tBodyAcc-arCoeff()-Z,4				Body Acceleration Autorregresion coefficient()-Z,4
tBodyAcc-correlation()-X,Y			Body Acceleration correlation()-X,Y
tBodyAcc-correlation()-X,Z			Body Acceleration correlation()-X,Z
tBodyAcc-correlation()-Y,Z			Body Acceleration correlation()-Y,Z
tGravityAcc-mean()-X				Gravity Acceleration mean()-X
tGravityAcc-mean()-Y				Gravity Acceleration mean()-Y
tGravityAcc-mean()-Z				Gravity Acceleration mean()-Z
tGravityAcc-std()-X					Gravity Acceleration Standard deviation()-X
tGravityAcc-std()-Y					Gravity Acceleration Standard deviation()-Y
tGravityAcc-std()-Z					Gravity Acceleration Standard deviation()-Z
tGravityAcc-mad()-X					Gravity Acceleration Median absolute deviation()-X
tGravityAcc-mad()-Y					Gravity Acceleration Median absolute deviation()-Y
tGravityAcc-mad()-Z					Gravity Acceleration Median absolute deviation()-Z
tGravityAcc-max()-X					Gravity Acceleration max()-X
tGravityAcc-max()-Y					Gravity Acceleration max()-Y
tGravityAcc-max()-Z					Gravity Acceleration max()-Z
tGravityAcc-min()-X					Gravity Acceleration min()-X
tGravityAcc-min()-Y					Gravity Acceleration min()-Y
tGravityAcc-min()-Z					Gravity Acceleration min()-Z
tGravityAcc-sma()					Gravity Acceleration Signal magnitude area()
tGravityAcc-energy()-X				Gravity Acceleration energy()-X
tGravityAcc-energy()-Y				Gravity Acceleration energy()-Y
tGravityAcc-energy()-Z				Gravity Acceleration energy()-Z
tGravityAcc-iqr()-X					Gravity Acceleration Interquartile range()-X
tGravityAcc-iqr()-Y					Gravity Acceleration Interquartile range()-Y
tGravityAcc-iqr()-Z					Gravity Acceleration Interquartile range()-Z
tGravityAcc-entropy()-X				Gravity Acceleration entropy()-X
tGravityAcc-entropy()-Y				Gravity Acceleration entropy()-Y
tGravityAcc-entropy()-Z				Gravity Acceleration entropy()-Z
tGravityAcc-arCoeff()-X,1			Gravity Acceleration Autorregresion coefficient()-X,1
tGravityAcc-arCoeff()-X,2			Gravity Acceleration Autorregresion coefficient()-X,2
tGravityAcc-arCoeff()-X,3			Gravity Acceleration Autorregresion coefficient()-X,3
tGravityAcc-arCoeff()-X,4			Gravity Acceleration Autorregresion coefficient()-X,4
tGravityAcc-arCoeff()-Y,1			Gravity Acceleration Autorregresion coefficient()-Y,1
tGravityAcc-arCoeff()-Y,2			Gravity Acceleration Autorregresion coefficient()-Y,2
tGravityAcc-arCoeff()-Y,3			Gravity Acceleration Autorregresion coefficient()-Y,3
tGravityAcc-arCoeff()-Y,4			Gravity Acceleration Autorregresion coefficient()-Y,4
tGravityAcc-arCoeff()-Z,1			Gravity Acceleration Autorregresion coefficient()-Z,1
tGravityAcc-arCoeff()-Z,2			Gravity Acceleration Autorregresion coefficient()-Z,2
tGravityAcc-arCoeff()-Z,3			Gravity Acceleration Autorregresion coefficient()-Z,3
tGravityAcc-arCoeff()-Z,4			Gravity Acceleration Autorregresion coefficient()-Z,4
tGravityAcc-correlation()-X,Y		Gravity Acceleration correlation()-X,Y                              
tGravityAcc-correlation()-X,Z		Gravity Acceleration correlation()-X,Z
tGravityAcc-correlation()-Y,Z		Gravity Acceleration correlation()-Y,Z
tBodyAccJerk-mean()-X				Body Acceleration Jerk mean()-X
tBodyAccJerk-mean()-Y				Body Acceleration Jerk mean()-Y
tBodyAccJerk-mean()-Z				Body Acceleration Jerk mean()-Z
tBodyAccJerk-std()-X				Body Acceleration Jerk Standard deviation()-X
tBodyAccJerk-std()-Y				Body Acceleration Jerk Standard deviation()-Y
tBodyAccJerk-std()-Z				Body Acceleration Jerk Standard deviation()-Z
tBodyAccJerk-mad()-X				Body Acceleration Jerk Median absolute deviation()-X
tBodyAccJerk-mad()-Y				Body Acceleration Jerk Median absolute deviation()-Y
tBodyAccJerk-mad()-Z				Body Acceleration Jerk Median absolute deviation()-Z
tBodyAccJerk-max()-X				Body Acceleration Jerk max()-X
tBodyAccJerk-max()-Y				Body Acceleration Jerk max()-Y
tBodyAccJerk-max()-Z				Body Acceleration Jerk max()-Z
tBodyAccJerk-min()-X				Body Acceleration Jerk min()-X
tBodyAccJerk-min()-Y				Body Acceleration Jerk min()-Y
